image,label
image/promise_34.nii.gz,label/promise_34.nii.gz
image/promise_32.nii.gz,label/promise_32.nii.gz
image/promise_23.nii.gz,label/promise_23.nii.gz
image/promise_33.nii.gz,label/promise_33.nii.gz
image/promise_21.nii.gz,label/promise_21.nii.gz
image/promise_27.nii.gz,label/promise_27.nii.gz
image/promise_07.nii.gz,label/promise_07.nii.gz
image/promise_19.nii.gz,label/promise_19.nii.gz
image/promise_35.nii.gz,label/promise_35.nii.gz
image/promise_16.nii.gz,label/promise_16.nii.gz
image/promise_12.nii.gz,label/promise_12.nii.gz
image/promise_28.nii.gz,label/promise_28.nii.gz
image/promise_00.nii.gz,label/promise_00.nii.gz
image/promise_24.nii.gz,label/promise_24.nii.gz
image/promise_47.nii.gz,label/promise_47.nii.gz
image/promise_01.nii.gz,label/promise_01.nii.gz
image/promise_13.nii.gz,label/promise_13.nii.gz
image/promise_14.nii.gz,label/promise_14.nii.gz
image/promise_49.nii.gz,label/promise_49.nii.gz
image/promise_05.nii.gz,label/promise_05.nii.gz
image/promise_17.nii.gz,label/promise_17.nii.gz
image/promise_25.nii.gz,label/promise_25.nii.gz
image/promise_03.nii.gz,label/promise_03.nii.gz
image/promise_39.nii.gz,label/promise_39.nii.gz
image/promise_36.nii.gz,label/promise_36.nii.gz
image/promise_22.nii.gz,label/promise_22.nii.gz
image/promise_06.nii.gz,label/promise_06.nii.gz
image/promise_08.nii.gz,label/promise_08.nii.gz
image/promise_46.nii.gz,label/promise_46.nii.gz
image/promise_30.nii.gz,label/promise_30.nii.gz
image/promise_11.nii.gz,label/promise_11.nii.gz
image/promise_02.nii.gz,label/promise_02.nii.gz
image/promise_42.nii.gz,label/promise_42.nii.gz
image/promise_04.nii.gz,label/promise_04.nii.gz
image/promise_29.nii.gz,label/promise_29.nii.gz
